Subjects,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30
KAdBwZw0e6,not clear,0,Van,1,Van,1,House,1,Baby,1,Car,1,Bird,1,Rope Bridge ,2,fish,2,Bird,1,Desk,2,Phone,2,Bird,2,snake,1,Hot air balloon,2,Beach,0,Barrel,2,Cycle ,2,Toy Car,1,Owl,2,Cat,0,Owl,2,Bird,1,None,0,None,0,None,0,Man,1,Guitar,1,Palace,1,
ePfqL4z12s,none,0,Ambulance,1,van,1,house,1,baby,1,car,1,bird,1,bridge,2,painting,2,parrot,1,none,0,telephone,2,bird,2,snake,1,balloon,2,fish,1,fish,1,bicycle,2,cheetah,2,none,0,shoe,1,owl,2,peacock,1,frog,2,phone booth,2,none,0,musician,1,violin,1,vessel,1,
NVTRTsWROV,horse,2,ambulance,1,volkswagon van,1,old barn,1,baby and bananna,3,car,1,bird,1,bridge,2,unsure,0,orange,0,unsure,0,frog,1,eagle,2,snake,1,baloon,2,whale,1,goldfish,1,bird,1,tiger,2,goldfish,2,spider,2,owl,2,pidgeon,1,fish,2,bus,0,tractor,2,man,1,guitar,1,train,1,
kB9UpNWSUb,airplane,1,ambulance,1,VW Bus,1,barn,1,banana,2,apple,2,eagle,1,bridge,2,fish,2,parrot,1,computer,2,phone,2,bird,2,flower,0,whale,1,whale,1,barrel,2,bicycle,2,cat,2,rooster,2,shoes,1,owl,2,bird,1,boat,1,phone booth,2,car,2,person,1,guitar,1,boat,1,
bRpVYtBLMu,airplane,1,ambulance,1,bus,1,deer,2,baby,1,lemon,2,eagle,1,bird,1,drawing,2,parrot,1,fish,1,frog,1,shell,1,fish,0,hot air balloon,2,whale,1,barrell,2,bike,2,cheetah,2,chicken,2,shoes,1,owl,2,ostrich,1,boat,1,phone booth,2,car,2,child,1,guitar,1,boat,1,
dsHGay6d9N,plane,1,ambulance,1,van,1,house,1,banana face,3,car,1,eagle pizza,3,none,0,none,0,parrot,1,fish,1,phone,2,shell,1,snail,2,balloon,2,whale,1,barrell,2,bike,2,cheetah,2,rooster,2,none,0,owl,2,bird,1,sailboat,1,phonebooth,2,bus,2,accordian,1,guitar,1,none,0,
yVLKMGLKZW,Plane,1,Ambulance,1,Car,1,House,1,Banana,2,Car,1,Eagle,1,Bridge,2,None,0,Parrot,1,TV,2,Phone,2,None,0,Flower,0,Hot air balloon,2,Water,0,Barrel,2,Bicycle,2,None,0,Chicken,2,"None
 ",0,Owl,2,Animal,1,None,0,Phone booth,2,None,0,Person,1,Guitar,1,Boat,1,
BGKQbtnYow,animal,2,van,1,van,1,building,1,human,1,old car,1,none,0,none,0,none,0,none,0,none,0,none,0,none,0,none,0,hot air balloon,2,penguin?,1,bowl,2,bicycle,2,none,0,rooster,2,shoes,1,none,0,turkey?,1,sailboat?,1,none,0,car,2,none,0,none,0,none,0,
ulRrqzvnAw,airplane,1,ambulance,1,vw van,1,old barn,1,banana and I think a baby,3,tennis ball and car,3,pizza,2,bridge and eagle,3,,0,parrot,1,table,2,,0,bird,2,snake ,1,hot air balloon ,2,whale ,1,barrel and fish,3,bird and bike,3,cheetah,2,rooster ,2,cat ,0,owl and boat ,3,bird,1,sailboat,1,phone booth ,2,fire hydrant,2,child and accordian,1,corn,2,ship,1,
5oJo1DEpdM,airplane,1,ambulance,1,van,1,house,1,baby and banana,3,car,1,eagle,1,fence,0,crab,1,parrot,1,metal tool,0,telephone,2,bird,2,snake,1,hot air balloon,2,whale,1,barrel,2,bird,1,leopard,2,chicken,2,moth,2,owl,2,ostrich,1,sailing boat,1,telephone box,2,bus,2,kid,1,corn,2,lion,2,
RbdmVTToe7,plane,1,building,1,bus,1,barn,1,banana,2,"car
tennis ball",3,"bird
food",3,net,0,water,0,parrot,1,toilet,0,phone,2,seashells,1,snail,2,hot air balloon,2,lake,0,"barrel
fish",2,bike,2,cheetah,2,chicken,2,shoes,1,owl,2,bird,1,sail boat,1,phone booth,2,cab,2,accordion,1,guitar,1,naval ship,1,
c4lV9PS3Gr,Airplane,1,Ambulance,1,Volkswagen bus,1,"Old barn
",1,,0,"Car
Apple",3,"Pizza
Bird",3,Inside a building,0,Painting,2,Parrot,1,Computer area,2,"Telephone
calculator",2,sea shell,1,"Snail
Snake
Flower",2,"Whale
hot air balloon",1,Whale,1,"Fish
Barrel",1,Bicycle,2,Giraffe,2,"Fish
Chicken",2,Rope,0,Owl,2,Bird,1,"Sailboat
frog",1,"Jack o lantern
phone booth",1,Car,2,"Man
piano accordion",1,"Guitar
Blanket",1,Battleship,1,
8cEfrzFVEc,Plane,1,Ambulance,1,VW bus,1,"Old wooden, rotting barn",1,baby,1,classic car,1,eagle & pizza,3,bridge,2,fish,2,parrot,1,computer,2,telephone?,2,sea shells,1,flower,0,hot air balloon // whale,3,killer whale,1,barrel // fish,3,bicycle // small yellow bird,3,cheetah,2,chicken,2,shoes,1,owl // boat,3,pheasant ,1,sailboat // frog,3,red phone booth,2,taxi,2,accordion player,1,acoustic guitar // corn cob,3,lion,2,
6K0YDMyK5k,plane,1,van,1,van,1,barn,1,"baby, banana",3,"apple, car",3,"pizza, eagle",3,person with turban,0,none,0,parrot,1,clown fish,1,green machine,2,seashells,1,snail,2,hot air balloon,2,ray,0,"barrel, fish",3,"bird, bicycle",3,"car, cheetah",3,chicken,2,shoes,1,owl,2,bird,1,boat,1,phone booth,2,taxi,2,person playing accordion,1,"guitar, corn",3,lion,2,
99VHS72Fgp,space shuttle,1,ambulance,1,none,0,house,1,baby,1,car,1,food,2,bridge,2,plate,0,bird,1,chair,2,none,0,bird,2,snake,1,air balloon,2,river,0,barrel,2,cycle,2,none,0,none,0,cat,0,none,0,bird,1,painting,0,tram,0,none,0,male,1,maize,2,animal,2,
kLE16JggnZ,Airplane,1,Ambulance,1,Old car,1,"Rotten house
",1,Banana,2,Oldsmobile,1,Pizza,2,Bridge,2,Soup Can,0,Parrot,1,Eggs,0,Old telephone dial,2,Bird,2,Bacteria,0,Hot air balloon,2,Orca,1,Barrel,2,Bike,2,Leopard,2,Monkey,2,Dingo,0,Owl,2,Small dustbunny,0,Sailboat,1,Telephone British,2,Gold chest,0,Person drinking,1,Guitar,1,Old city,1,
FVVO4CGHMp,plane,1,ambulance,1,vw bus,1,barn,1,banana,2,car,1,pizza,2,bridge,2,None,0,parrot,1,None,0,None,0,Shell,1,flowers,0,hot air balloon,2,dolphin,1,barrel,2,bike,2,cheetah,2,rooster,2,shoes,1,owl,2,None,0,sail boat,1,phone booth,2,None,0,accordion ,1,guitar,1,None,0,
1FFcRzkxil,Nothing,0,van,1,"Nothing, it was too fast",0,"Nothing, it went too fast.",0,baby,1,"I have no idea, it went too fast.",0,,0,It flashed too fast and I saw nothing.,0,an animal I think.,1,I have no idea.,0,a room,2,"No idea, it went too fast.",0,,0,,0,a snake.,1,Nothing,0,maybe food,0,a bike,2,nothing,0,"Not sure, some kind of animal I think.",0,A bag,0,Nothing,0,an animal,1,Nothing,0,a carnival ride,0,No idea,0,none,0,none,0,none,0,
olefWbSIXU,vehicle,1,van,1,van,1,house,1,baby and banana,3,car and apple,3,pizza,2,none,0,none,0,parrot,1,computer,2,none,0,none,0,snake and flower,1,hot air balloon,2,whale,1,barrel,2,bike,2,cheetah,2,rooster,2,shoes,1,owl,2,bird,1,frog and boat,3,none,0,car,2,man,1,corn,2,ship,1,
XyWmR6q7Vx,A plane,1,A van,1,An orange van,1,An old shack,1,Bananas,2,A tennis ball and car,3,A bird and a plate,3,A fence,0,,0,A parrot,1,A computer,2,A phone,2,A bird and clouds,2,A snail,2,Hot air balloon,2,A whale,1,A barrell,2,A bike,2,Big cat and a lawnmower,3,Rooster,2,Shoes,1,Owl,2,A large bird,1,A boat,1,A phone booth,2,A car,2,A person playing an instrument,1,a guitar and corn,3,A castle,1,
R2qjE14WxB,plane,1,ambulance,1,vw,1,barn,1,baby banana,3,car apple,3,bird pizza,3,bridge,2,painting,2,parrot,1,clown fish,1,calculator,2,bird,2,snake flower,1,balloon,2,butterfly,2,barrel,2,bike,2,lawnmower,1,rooster,2,shoes,1,owl,2,bird,1,frog sail,3,phone booth,2,race car,2,accordian,1,guitar,1,ship,1,
oot2bpAgwB,Unsure,0,Ambulance,1,Volkswagon Van,1,Old barn,1,Baby Banana,3,Car,1,Eagle and Pizza,3,Bridge,2,Unsure,0,Parrot,1,Stove,0,Telephone,2,Unsure,0,Flower and a Snake,1,Hot Air Balloon and Jesus,3,Unsure,0,Barrell and Bird,3,Bird and Bike,3,Jaguar,2,Rooster,2,Unsure,0,Owl,2,Unsure,0,Sailboat,1,Telephone booth and a Jack-O-Latern,3,Taxi,2,Accordian,1,Corn on the Cob,2,Unsure,0,
ORMV5QQDKg,plane,1,ambulance,1,vw bus,1,barn,1,"baby, banana",3,car,1,pizza,2,bridge,2,none,0,parrot,1,fish,1,none,0,seashell,1,snake,1,hot air balloon,2,butterfly,2,barrel and fish,3,bike,2,leopard,2,rooster,2,none,0,none,0,bird,1,sailboat and frog,3,phone booth,2,taxi,2,accordion,1,guitar and corn,3,none,0,
7WN70rNfXN,rat,2,ambulance,1,rabbit,2,house,1,baby,1,car,1,bird,1,bird,1,cat,0,n/a,0,n/a,0,bug,1,bird,2,snake,1,hot air balloon,2,n/a,0,barrel,2,bike,2,hyeena,2,rooster,2,n/a,0,owl,2,n/a,0,rainbow,1,pumpkin,1,n/a,0,harp,1,n/a,0,castle,1,
