,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,31
9hyc4BF4l7,  ants,0,colored lines red and blue,0,gorilla,2,tree stump,0,lady bugs,0,cowboy hat,2,wagon,2,fan,2,tiger,2,horse,0,dog,2,kangaroo,2,eggs,2,elephant,2,eye,2,rainbow,0,ant,2,leopard,2,tiger,0,cup of coffee,0,books,2,zebra,0,snake,0,flower,2,banana ,2,mouse,0,glass,2,pool,0,snake,0,cat,2,
notj4aD17y,lipstick  ,2,none,0,monkey,0,clock,2,none,0,hat,2,none,0,none,0,a face,2,none,0,a horse,2,a deer,2,none,0,none,0,none,0,none,0,a spider,2,a leopard ,2,none,0,a bucket,2,books,2,zebra,2,a gun,2,flowers,2,banana ,2,none,0,a glass,2,none,0,none,0,none,0,
p2GpeymmlW,  lipstick,2,painting,0,none,0,watch,2,mushroom,0,hat,2,none,0,fan,2,none,0,painting,0,bird,2,kangaroo,2,balls,2,rabbit,0,none,0,flamingo,2,spider,2,fish,0,dog,0,kettle,0,piano,2,zebra,2,none,0,flower,2,leaf,0,none,0,glass,2,none,0,none,0,none,0,
mdstdMMcOv,A plus sign.  ,0,Something blue/purple,0,A leopard.,0,A clock face.,2,Donuts,2,Cowboy hat.,2,Carriage,2,Fan,2,Tiger face,2,Doberman,0,Sheepdog,2,Kangaroo,2,Eggs,2,Elephant,2,Lizard eye,2,Stork/heron,2,Orangutan face,0,Leopard,2,Lion,0,Pot,2,Grand piano,2,Zebra,2,Handgun,2,Daisy,2,Green thing.,0,Crocodile skin,0,Glass,2,Flamingos?,0,None,0,Dust clouds,0,
dI9kZIGA2N,chess piece  ,0,random colors,0,gorilla,2,phone,0,cookies,2,cowboy hat,2,old car,2,film reel,0,tiger,2,some vegetable,0,dog,2,kangaroo,2,eggs,2,elephant,2,tucan ,0,bird,2,ant,2,cheeta ,2,pig,0,bucket,2,piano,2,zebra,2,gun,2,flower,2,banana,2,chinese letter,0,bucket,2,colors,0,watches,2,cub,0,
nkTvcuqFRB,bullets  ,0,nothing,0,urang-utang,2,watch,2,microbe,0,cowboy hat,2,carriage,2,ventilator,2,tiger,2,nose,0,dog,2,kangourou,2,eggs,2,elephant,2,snake,2,pelican,2,spider,2,panther,2,no idea,0,bucket,2,piano,2,zebra,2,gun,2,flower,2,banana,2,no idea,0,glass,2,drawing of people,0,hand,0,no idea,0,
BkLaq01YY2,none  ,0,none,0,dog,0,clock,2,none,0,hat,2,none,0,wheel,2,none,0,none,0,dog,2,deer,2,none,0,elephant,2,none,0,none,0,ant,2,leopard,2,none,0,cup,2,piano,2,zebra,2,gun,2,flower,2,fruit,2,none,0,none,0,none,0,none,0,none,0,
J9FuWMLqcT,no idea  ,0,blue streaks,0,monkey,0,watch,2,no idea,0,maybe a gorilla,0,no idea,0,a fan,2,maybe tiger,2,is my brain broken?  no idea,0,saw an eye,2,no idea,0,limes or lemons?,2,i think i saw a tusk,2,no idea,0,a bird?,2,spider,2,cheetah?  ,2,maybe a deer?,0,a bucket?,2,no idea,0,zebra!,2,a gun?,2,lillies in water?,2,no idea,0,no idea,0,no idea,0,no idea again,0,just looks like blobs,0,no idea...out of focus colors,0,
v0GdK04I4g,group of people  ,0,"none
",,animal,0,watch,2,none,0,tea pot,0,none,0,none,0,none,0,bear,0,dog,2,none,0,donuts,0,animal,2,none,0,none,0,spider,2,none,0,none,0,cup,2,none,0,zebra,2,gun ,2,flower,2,banana,2,none,0,none,0,none,0,person,0,flower,0,
x6aAYbgHGF,rose buds  ,0,none,0,gorilla and baby,2,watch,2,none,0,none,0,carriage,2,old fan,2,none,0,deer,0,none,0,kangaroo,2,eggs,2,elephant,2,fish,0,pelicans,2,none,0,giraffes,2,row boat,2,bucket,2,piano,2,zebra,2,handgun,2,daffodile,0,banana,2,none,0,paint can,2,none,0,watches,2,none,0,
5CUF2qVslR,Sweets  ,0,Mixture of colors,0,Mixture of colors,0,Could not recognize,0,yellowish grass,0,Oval shape,0,wood,0,spherical shaped drawing,2,Could not recognize,0,Chocolate colored object,0,eye,2,animal,2,yellowish stones,2,greyish animal,2,no image shown this time,0,Reddish color,0,ant,2,bees in the  trees,0,yellow and green color,0,cup,2,could not recognize,0,zebra,2,nest,0,flower,2,green bananas,2,black and white,0,black and white wood,0,digital screen,0,brown colors,0,red and yellow mixture colors,0,
CB0New7m46,None  ,0,Abstract art,0,Orangutan ,2,Scale,0,None,0,Cowboy hat,2,Old model car/wagon,2,Wheel,2,Tiger,2,Christmas Stocking,2,Dog,2,Kangaroo,2,Eggs,2,Elephant,2,Skunk,2,Rabbit,0,Ant or a spider,2,Jaguar,2,None,0,bucket,2,Some sort of structure,0,Zebra,2,Gun a revolver,2,Daisies,2,Bananas ,2,None,0,Can of beer,2,None,0,Watches,2,Puppy,2,
MOB56VWwR0,"lipstick
  ",,painting,0,Gorilla,2,Clock,2,none,0,none,0,none,0,fan,2,none,0,none,0,dog,2,deer,2,eggs,2,elephant,2,none,0,bird,2,ant,2,leopard,2,women,2,paint,0,snake,0,zebra,2,gun,2,flower,2,banana,2,none,0,jar,2,none,0,shells,0,none,0,
DAV0PrzWoG,  Lipstick,2,Tie Dye,0,Gorilla,2,Binoculars,0,None,0,Cowboy Hat,2,None,0,Crosshairs,0,None,0,None,0,Puppy,2,Deer,2,None,0,Lamb,2,None,0,None,0,Eyeball,0,None,0,None,0,Saucer,0,Piano,2,Zebra,2,Gun,2,Flower Petals,2,Banana,2,Fish,0,Cup of water,2,None,0,Alien face?,0,None,0,
VccK4VZRg3,  none,0,none,0,gorilla maybe,2,patterns of some sort,0,none,0,,,none,0,sphere,2,none,0,none,0,something with an eyeball,2,rabbit or fox or something,2,circles,2,small animal,2,none,0,pelican?,2,small black bird,0,spotted something,0,silhouette of a person maybe,2,pail or tea kettle with handle,2,rectangles,0,zebra,2,none,0,flowers....I think daisy,2,fruit bowl,2,none,0,logo like Chevy or something,0,none,0,none,0,none just colors...yellow and mustard tones,0,
7kcd9tHmee,  lipstick,2,different lines ,0,rock,0,different colored watches,0,none,0,big lipstick,0,bysicles,0,wheel ,2,lion,2,Christmas stocking,2,dog,2,kangaroo ,2,eggs,2,elephant ,2,eye,2,goose ,0,spider ,2,cheater ,2,ballerina ,2,basket ,2,piano ,2,zebra ,2,pistol ,2,camomile ,2,banana,2,stars ,0,glass,2,none,0,coins,0,none,0,
dtryzZFZWm,grapes  ,0,fabric,0,owl,0,watch,2,rock,0,banana,0,door,0,circle,2,fabric,0,rock,0,parrot,0,calf,2,egg,2,elephant,2,fish,2,duck,2,fly,2,cheetah ,2,deer,0,vessel,0,clip,0,zebra ,2,gun,2,flower,2,fish,0,cow,0,vessel ,0,fabric,0,glass,0,fabric,0,
FyfK6yLCVb,  lipstick,2,car,0,gorilla,2,phone,0,coin,0,hat,2,car,2,fan,2,lion,2,sock,2,duck,0,kangaroo,2,car,0,elephant,2,hat,0,duck,2,spider,2,cheetah,2,duck,0,pot,2,books,2,zebra,2,gun,2,flower,2,hat,0,duck,0,cup,2,duck,0,gorilla,0,elephant,2,
ajg5mhCRPM,eggs  ,0,none,0,gorilla,2,none,0,none,0,cowboy hat,2,none,0,fan,2,none,0,ice cream cone,0,some animal,2,kangaroo,2,none,0,none,0,eye,2,mermaid,0,spider,2,spotted animal,2,none,0,cup of coffee,2,piano,2,zebra,2,none,0,daisies ,2,fruit,2,person hiking,0,glass,2,none,0,none,0,dog,2,
nKXyKn9d8X,  Lipstick,2,Brush,0,Grapes,0,Watch dial,2,None.,0,Hat,2,Table,0,Globe,2,Tiger,2,Flower,0,Dog,2,Kangaroo,2,Eggs,2,Elephant,2,Fish,2,Swan,2,Ant,2,Leopard,2,None.,0,Bucket,2,Piano,2,Zebra,2,Gun,2,Flower,2,Banana,2,Birds,0,Tumbler,0,Palms,0,Bangles,0,Horse,2,
7K96GlkNWg,none  ,0,colors,0,monkey,0,watch,2,snake,0,frog,0,glass,0,sphere or circle,2,none,0,none,0,monkey,2,deer,2,balls,2,elephant,2,mammals,,snake,0,ant,2,cheetah,2,none,0,cup,2,books,2,zebra,2,gun,2,flower,2,banana,2,frog,0,glass cup,2,none,0,turtles,0,none,0,
J5xJlJzuST,Lipstick  ,2,Paint,0,Monkey,0,Clock,2,Snake,0,Hat,2,Carriage,2,Plane,0,Tiger,2,Statue,0,Dog,2,Kangaroo,2,Eggs,2,Elephant,2,Rat,2,Flamingo,2,Spider,2,Cheetah,2,CLoud,0,Bucket,2,Piano,2,Zebra,2,Revolver,2,Flower,2,Banana,2,Cloud,0,Glass,2,Glove,0,Watch,2,Lamb,2,
